,close,open,time,date,date2,norm
0,489.95,524.29,"Mar 26, 2018",2018-03-26,03/26/18,1.0
1,524.29,522.7,"Mar 25, 2018",2018-03-25,03/25/18,1.0700887845698541
2,526.44,542.57,"Mar 24, 2018",2018-03-24,03/24/18,1.074476987447699
3,539.62,539.86,"Mar 23, 2018",2018-03-23,03/23/18,1.101377691601184
4,539.7,562.1,"Mar 22, 2018",2018-03-22,03/22/18,1.1015409735687316
5,561.73,559.1,"Mar 21, 2018",2018-03-21,03/21/18,1.146504745382182
6,557.17,556.72,"Mar 20, 2018",2018-03-20,03/20/18,1.1371976732319624
7,556.73,546.63,"Mar 19, 2018",2018-03-19,03/19/18,1.13629962241045
8,538.64,551.64,"Mar 18, 2018",2018-03-18,03/18/18,1.0993774874987243
9,552.78,601.68,"Mar 17, 2018",2018-03-17,03/17/18,1.1282375752627818
10,601.67,611.78,"Mar 16, 2018",2018-03-16,03/16/18,1.2280232676803755
11,611.3,614.84,"Mar 15, 2018",2018-03-15,03/15/18,1.2476783345239308
12,614.29,691.22,"Mar 14, 2018",2018-03-14,03/14/18,1.2537809980610266
13,690.83,698.15,"Mar 13, 2018",2018-03-13,03/13/18,1.4100010205122973
14,699.83,724.41,"Mar 12, 2018",2018-03-12,03/12/18,1.4283702418614146
15,723.34,685.31,"Mar 11, 2018",2018-03-11,03/11/18,1.4763547300744975
16,686.89,730.16,"Mar 10, 2018",2018-03-10,03/10/18,1.4019593836105726
17,728.92,702.2,"Mar 09, 2018",2018-03-09,03/09/18,1.48774364731095
18,704.6,752.57,"Mar 08, 2018",2018-03-08,03/08/18,1.4381059291764466
19,752.83,816.27,"Mar 07, 2018",2018-03-07,03/07/18,1.5365445453617717
20,816.95,853.82,"Mar 06, 2018",2018-03-06,03/06/18,1.6674150423512604
21,853.68,866.85,"Mar 05, 2018",2018-03-05,03/05/18,1.742381875701602
22,866.68,856.19,"Mar 04, 2018",2018-03-04,03/04/18,1.7689151954281048
23,857.23,856.71,"Mar 03, 2018",2018-03-03,03/03/18,1.749627513011532
24,856.85,871.76,"Mar 02, 2018",2018-03-02,03/02/18,1.7488519236656803
25,872.2,856.01,"Mar 01, 2018",2018-03-01,03/01/18,1.780181651188897
26,855.2,877.93,"Feb 28, 2018",2018-02-28,02/28/18,1.7454842330850089
27,878.26,870.37,"Feb 27, 2018",2018-02-27,02/27/18,1.7925502602306358
28,869.32,845.28,"Feb 26, 2018",2018-02-26,02/26/18,1.7743035003571794
29,844.81,839.46,"Feb 25, 2018",2018-02-25,02/25/18,1.7242779875497498
30,840.51,861.59,"Feb 24, 2018",2018-02-24,02/24/18,1.7155015817940606
31,864.19,811.59,"Feb 23, 2018",2018-02-23,02/23/18,1.7638330441881827
32,812.85,849.26,"Feb 22, 2018",2018-02-22,02/22/18,1.6590468415144404
33,849.97,894.13,"Feb 21, 2018",2018-02-21,02/21/18,1.7348096744565773
34,895.37,943.57,"Feb 20, 2018",2018-02-20,02/20/18,1.827472191039902
35,943.87,921.67,"Feb 19, 2018",2018-02-19,02/19/18,1.9264618838657006
36,923.92,973.35,"Feb 18, 2018",2018-02-18,02/18/18,1.8857434432084905
37,974.12,944.75,"Feb 17, 2018",2018-02-17,02/17/18,1.988202877844678
38,944.21,934.79,"Feb 16, 2018",2018-02-16,02/16/18,1.9271558322277784
39,936.98,923.73,"Feb 15, 2018",2018-02-15,02/15/18,1.9123992244106542
40,923.56,844.28,"Feb 14, 2018",2018-02-14,02/14/18,1.885008674354526
41,845.26,869.29,"Feb 13, 2018",2018-02-13,02/13/18,1.7251964486172058
42,868.71,817.51,"Feb 12, 2018",2018-02-12,02/12/18,1.7730584753546281
43,814.66,859.29,"Feb 11, 2018",2018-02-11,02/11/18,1.6627410960302071
44,860.41,882.47,"Feb 10, 2018",2018-02-10,02/10/18,1.756117971221553
45,883.87,818.48,"Feb 09, 2018",2018-02-09,02/09/18,1.804000408204919
46,817.81,755.84,"Feb 08, 2018",2018-02-08,02/08/18,1.669170323502398
47,757.07,790.43,"Feb 07, 2018",2018-02-07,02/07/18,1.5451984896418003
48,793.12,707.74,"Feb 06, 2018",2018-02-06,02/06/18,1.6187774262679866
49,697.95,834.96,"Feb 05, 2018",2018-02-05,02/05/18,1.4245331156240435
50,834.68,964.67,"Feb 04, 2018",2018-02-04,02/04/18,1.7036024084090213
51,964.02,919.21,"Feb 03, 2018",2018-02-03,02/03/18,1.9675885294417799
52,915.78,1035.77,"Feb 02, 2018",2018-02-02,02/02/18,1.8691295030105113
53,1036.79,1119.37,"Feb 01, 2018",2018-02-01,02/01/18,2.1161138891723645
54,1118.31,1071.09,"Jan 31, 2018",2018-01-31,01/31/18,2.2824982141034798
55,1071.13,1184.13,"Jan 30, 2018",2018-01-30,01/30/18,2.1862026737422187
56,1182.36,1246.7,"Jan 29, 2018",2018-01-29,01/29/18,2.413225839371364
57,1246.01,1111.78,"Jan 28, 2018",2018-01-28,01/28/18,2.54313705480151
58,1107.07,1055.75,"Jan 27, 2018",2018-01-27,01/27/18,2.2595570976630266
59,1055.17,1052.7,"Jan 26, 2018",2018-01-26,01/26/18,2.153627921216451
60,1056.03,1063.22,"Jan 25, 2018",2018-01-25,01/25/18,2.1553832023675885
61,1058.78,987.48,"Jan 24, 2018",2018-01-24,01/24/18,2.160996020002041
62,986.23,1004.17,"Jan 23, 2018",2018-01-23,01/23/18,2.0129196856822125
63,1003.26,1055.35,"Jan 22, 2018",2018-01-22,01/22/18,2.047678334523931
64,1049.58,1155.68,"Jan 21, 2018",2018-01-21,01/21/18,2.1422185937340545
65,1155.15,1044.95,"Jan 20, 2018",2018-01-20,01/20/18,2.3576895601592
66,1039.1,1028.82,"Jan 19, 2018",2018-01-19,01/19/18,2.1208286559853047
67,1036.28,1016.44,"Jan 18, 2018",2018-01-18,01/18/18,2.115072966629248
68,1014.25,1061.34,"Jan 17, 2018",2018-01-17,01/17/18,2.0701091948157977
69,1053.69,1292.63,"Jan 16, 2018",2018-01-16,01/16/18,2.150607204816818
70,1291.92,1365.21,"Jan 15, 2018",2018-01-15,01/15/18,2.636840493927952
71,1366.77,1397.48,"Jan 14, 2018",2018-01-14,01/14/18,2.789611184814777
72,1396.42,1270.47,"Jan 13, 2018",2018-01-13,01/13/18,2.850127564037147
73,1273.2,1158.29,"Jan 12, 2018",2018-01-12,01/12/18,2.598632513521788
74,1154.93,1268.09,"Jan 11, 2018",2018-01-11,01/11/18,2.3572405347484437
75,1255.82,1300.34,"Jan 10, 2018",2018-01-10,01/10/18,2.563159506072048
76,1299.74,1146.0,"Jan 09, 2018",2018-01-09,01/09/18,2.6528013062557405
77,1148.53,1158.26,"Jan 08, 2018",2018-01-08,01/08/18,2.344177977344627
78,1153.17,1043.01,"Jan 07, 2018",2018-01-07,01/07/18,2.353648331462394
79,1041.68,995.15,"Jan 06, 2018",2018-01-06,01/06/18,2.1260944994387185
80,997.72,975.75,"Jan 05, 2018",2018-01-05,01/05/18,2.036371058271252
81,980.92,961.71,"Jan 04, 2018",2018-01-04,01/04/18,2.0020818450862334
