,close,open,time,date,date2,norm
0,59.74,65.4,"Mar 26, 2018",2018-03-26,03/26/18,1.0
1,65.43,65.19,"Mar 25, 2018",2018-03-25,03/25/18,1.0952460662872447
2,65.73,69.07,"Mar 24, 2018",2018-03-24,03/24/18,1.1002678272514228
3,68.56,69.61,"Mar 23, 2018",2018-03-23,03/23/18,1.1476397723468363
4,69.64,72.81,"Mar 22, 2018",2018-03-22,03/22/18,1.1657181118178774
5,72.95,76.41,"Mar 21, 2018",2018-03-21,03/21/18,1.221124874455976
6,76.03,73.85,"Mar 20, 2018",2018-03-20,03/20/18,1.272681620354871
7,73.44,67.19,"Mar 19, 2018",2018-03-19,03/19/18,1.2293270840308002
8,65.5,61.18,"Mar 18, 2018",2018-03-18,03/18/18,1.0964178105122195
9,61.53,68.3,"Mar 17, 2018",2018-03-17,03/17/18,1.0299631737529293
10,68.25,69.66,"Mar 16, 2018",2018-03-16,03/16/18,1.1424506193505188
11,69.57,71.83,"Mar 15, 2018",2018-03-15,03/15/18,1.1645463675929024
12,71.67,83.42,"Mar 14, 2018",2018-03-14,03/14/18,1.1996986943421493
13,83.38,85.57,"Mar 13, 2018",2018-03-13,03/13/18,1.3957147639772345
14,85.91,91.49,"Mar 12, 2018",2018-03-12,03/12/18,1.43806494810847
15,91.19,85.44,"Mar 11, 2018",2018-03-11,03/11/18,1.5264479410780045
16,85.58,93.32,"Mar 10, 2018",2018-03-10,03/10/18,1.432541011047874
17,92.67,91.7,"Mar 09, 2018",2018-03-09,03/09/18,1.5512219618346166
18,91.57,100.53,"Mar 08, 2018",2018-03-08,03/08/18,1.5328088382992968
19,100.44,105.38,"Mar 07, 2018",2018-03-07,03/07/18,1.6812855708068295
20,105.11,112.27,"Mar 06, 2018",2018-03-06,03/06/18,1.7594576498158687
21,113.02,120.12,"Mar 05, 2018",2018-03-05,03/05/18,1.8918647472380314
22,119.36,121.83,"Mar 04, 2018",2018-03-04,03/04/18,1.9979912956143286
23,122.14,124.26,"Mar 03, 2018",2018-03-03,03/03/18,2.0445262805490456
24,124.24,129.95,"Mar 02, 2018",2018-03-02,03/02/18,2.0796786072982925
25,129.05,133.65,"Mar 01, 2018",2018-03-01,03/01/18,2.1601941747572817
26,133.24,142.38,"Feb 28, 2018",2018-02-28,02/28/18,2.230331436223636
27,142.5,134.84,"Feb 27, 2018",2018-02-27,02/27/18,2.3853364579845997
28,134.17,118.91,"Feb 26, 2018",2018-02-26,02/26/18,2.2458988952125876
29,118.46,118.29,"Feb 25, 2018",2018-02-25,02/25/18,1.9829260127217943
30,118.57,121.42,"Feb 24, 2018",2018-02-24,02/24/18,1.9847673250753262
31,121.65,113.39,"Feb 23, 2018",2018-02-23,02/23/18,2.0363240709742216
32,114.08,120.62,"Feb 22, 2018",2018-02-22,02/22/18,1.909608302644794
33,120.96,127.67,"Feb 21, 2018",2018-02-21,02/21/18,2.024774020756612
34,128.36,137.95,"Feb 20, 2018",2018-02-20,02/20/18,2.148644124539672
35,137.47,127.23,"Feb 19, 2018",2018-02-19,02/19/18,2.301138265818547
36,127.38,136.4,"Feb 18, 2018",2018-02-18,02/18/18,2.1322397053900235
37,136.75,131.03,"Feb 17, 2018",2018-02-17,02/17/18,2.2890860395045194
38,128.85,123.02,"Feb 16, 2018",2018-02-16,02/16/18,2.156846334114496
39,123.29,122.0,"Feb 15, 2018",2018-02-15,02/15/18,2.063776364245062
