,close,open,time,date,date2,norm
0,3.2,3.35,"Mar 26, 2018",2018-03-26,03/26/18,1.0
1,3.35,3.29,"Mar 25, 2018",2018-03-25,03/25/18,1.046875
2,3.35,3.42,"Mar 24, 2018",2018-03-24,03/24/18,1.046875
3,3.37,3.53,"Mar 23, 2018",2018-03-23,03/23/18,1.0531249999999999
4,3.52,3.67,"Mar 22, 2018",2018-03-22,03/22/18,1.0999999999999999
5,3.67,3.73,"Mar 21, 2018",2018-03-21,03/21/18,1.1468749999999999
6,3.7,3.8,"Mar 20, 2018",2018-03-20,03/20/18,1.15625
7,3.76,3.68,"Mar 19, 2018",2018-03-19,03/19/18,1.1749999999999998
8,3.71,3.71,"Mar 18, 2018",2018-03-18,03/18/18,1.1593749999999998
9,3.69,3.91,"Mar 17, 2018",2018-03-17,03/17/18,1.153125
10,3.9,3.78,"Mar 16, 2018",2018-03-16,03/16/18,1.21875
11,3.78,3.82,"Mar 15, 2018",2018-03-15,03/15/18,1.18125
12,3.85,4.31,"Mar 14, 2018",2018-03-14,03/14/18,1.203125
13,4.27,4.0,"Mar 13, 2018",2018-03-13,03/13/18,1.3343749999999999
14,4.02,3.87,"Mar 12, 2018",2018-03-12,03/12/18,1.2562499999999999
15,3.88,3.47,"Mar 11, 2018",2018-03-11,03/11/18,1.2125
16,3.5,3.71,"Mar 10, 2018",2018-03-10,03/10/18,1.09375
17,3.71,3.7,"Mar 09, 2018",2018-03-09,03/09/18,1.1593749999999998
18,3.72,4.09,"Mar 08, 2018",2018-03-08,03/08/18,1.1625
19,4.1,4.76,"Mar 07, 2018",2018-03-07,03/07/18,1.2812499999999998
20,4.78,4.71,"Mar 06, 2018",2018-03-06,03/06/18,1.49375
21,4.69,4.56,"Mar 05, 2018",2018-03-05,03/05/18,1.465625
22,4.56,4.42,"Mar 04, 2018",2018-03-04,03/04/18,1.4249999999999998
23,4.44,4.5,"Mar 03, 2018",2018-03-03,03/03/18,1.3875
24,4.51,4.95,"Mar 02, 2018",2018-03-02,03/02/18,1.4093749999999998
25,4.95,4.54,"Mar 01, 2018",2018-03-01,03/01/18,1.546875
26,4.54,5.23,"Feb 28, 2018",2018-02-28,02/28/18,1.41875
27,5.23,5.58,"Feb 27, 2018",2018-02-27,02/27/18,1.6343750000000001
28,5.6,5.85,"Feb 26, 2018",2018-02-26,02/26/18,1.7499999999999998
29,5.87,5.57,"Feb 25, 2018",2018-02-25,02/25/18,1.8343749999999999
30,5.56,5.96,"Feb 24, 2018",2018-02-24,02/24/18,1.7374999999999998
31,5.99,5.46,"Feb 23, 2018",2018-02-23,02/23/18,1.871875
32,5.47,5.93,"Feb 22, 2018",2018-02-22,02/22/18,1.7093749999999999
33,5.95,6.23,"Feb 21, 2018",2018-02-21,02/21/18,1.859375
34,6.24,6.49,"Feb 20, 2018",2018-02-20,02/20/18,1.95
35,6.46,5.34,"Feb 19, 2018",2018-02-19,02/19/18,2.01875
36,5.35,6.0,"Feb 18, 2018",2018-02-18,02/18/18,1.6718749999999998
37,5.99,5.73,"Feb 17, 2018",2018-02-17,02/17/18,1.871875
